time,timestamp,aX(m/s²),aY(m/s²),aZ(m/s²),nozzle_tem,bed_tem,THE(°C),current_layer,total_layers,OT
2025-03-04-20-46-07,106155089,0.412,-0.416,-0.335,245,70,40.86,81,206,0
2025-03-04-20-46-08,106156046,-0.105,0.196,-0.287,245,70,40.86,81,206,0
2025-03-04-20-46-09,106157102,-4.981,-0.665,-0.273,245,70,40.87,81,206,0
2025-03-04-20-46-10,106158092,0.187,0.833,0.096,245,70,40.88,81,206,0
2025-03-04-20-46-11,106159016,0.368,0.502,-0.316,245,70,40.89,81,206,0
2025-03-04-20-46-12,106160072,-0.11,0.096,-0.297,245,70,40.89,82,206,0
2025-03-04-20-46-13,106161062,-1.11,1.904,-0.278,245,70,40.9,82,206,0
2025-03-04-20-46-14,106162052,0.053,0.019,-0.062,245,70,40.9,82,206,0
2025-03-04-20-46-15,106163042,-0.182,-0.579,-0.287,245,70,40.92,82,206,0
2025-03-04-20-46-16,106164032,0.053,0.048,-0.316,245,70,40.92,82,206,0
2025-03-04-20-46-17,106165022,-0.062,-0.033,-0.273,245,70,40.93,82,206,0
2025-03-04-20-46-18,106166078,0.593,-1.086,-0.694,245,70,40.93,82,206,0
2025-03-04-20-46-19,106167002,0.665,0.282,-0.153,245,70,40.94,83,206,0
2025-03-04-20-46-20,106168058,-0.033,-0.038,-0.297,245,70,40.94,83,206,0
2025-03-04-20-46-21,106169081,0.005,-0.167,-0.311,245,70,40.95,83,206,0
2025-03-04-20-46-22,106170071,-0.321,-0.134,-0.464,245,70,40.95,83,206,0
2025-03-04-20-46-23,106171028,-0.646,0.196,-0.928,245,70,40.96,83,206,0
2025-03-04-20-46-24,106172051,0.033,-0.287,-0.234,245,70,40.97,83,206,0
2025-03-04-20-46-25,106173041,0.139,0.167,-0.301,245,70,40.97,83,206,0
2025-03-04-20-46-26,106173998,3.297,2.881,-0.22,245,70,40.98,84,206,0
2025-03-04-20-46-27,106175087,-0.244,1.105,-0.292,245,70,40.98,84,206,0
2025-03-04-20-46-28,106175978,0.014,-0.129,-0.335,245,70,40.99,84,206,0
2025-03-04-20-46-29,106177001,-0.048,-0.187,-0.297,245,70,40.99,84,206,0
2025-03-04-20-46-30,106178057,-3.732,0.043,-0.388,245,70,40.99,84,206,0
2025-03-04-20-46-31,106179047,-0.589,-0.656,0.397,245,70,41,84,206,0
2025-03-04-20-46-32,106180004,-0.325,0.005,-0.311,245,70,41.02,84,206,0
2025-03-04-20-46-33,106181060,0.072,0.053,-0.292,245,70,41.01,85,206,0
2025-03-04-20-46-34,106182050,-0.124,2.139,-0.115,245,70,41.02,85,206,0
2025-03-04-20-46-35,106183007,-0.014,0.254,-0.244,245,70,41.02,85,206,0
2025-03-04-20-46-36,106184096,-0.029,-0.12,-0.321,245,70,41.03,85,206,0
2025-03-04-20-46-37,106185053,0.096,0.077,-0.316,245,70,41.04,85,206,0
2025-03-04-20-46-38,106186043,1.005,0.785,0.077,245,70,41.04,85,206,0
2025-03-04-20-46-39,106187099,-0.124,-1.794,-0.263,245,70,41.05,85,206,0
2025-03-04-20-46-40,106188089,0.062,0.057,-0.321,245,70,41.06,86,206,0
2025-03-04-20-46-41,106189079,0.081,-0.086,-0.301,245,70,41.06,86,206,0
2025-03-04-20-46-42,106190069,3.689,-0.024,-0.488,245,70,41.07,86,206,0
2025-03-04-20-46-43,106191059,-0.364,-0.603,-0.402,245,70,41.07,86,206,0
2025-03-04-20-46-44,106192049,0.33,0.474,-0.268,245,70,41.07,86,206,0
2025-03-04-20-46-45,106193039,2.45,1.56,-0.278,245,70,41.08,86,206,0
2025-03-04-20-46-46,106194062,0.091,-5.015,-1.077,245,70,41.09,87,206,0
2025-03-04-20-46-47,106195052,0.225,0.005,-0.321,245,70,41.1,87,206,0
2025-03-04-20-46-48,106196042,0.148,0.096,-0.297,245,70,41.1,87,206,0
2025-03-04-20-46-49,106196933,0.134,0.292,-0.282,245,70,41.11,87,206,0
2025-03-04-20-46-50,106198022,0.029,0.526,-0.435,245,70,41.12,87,206,0
2025-03-04-20-46-51,106198979,0,0.072,-0.258,245,70,41.12,87,206,0
2025-03-04-20-46-52,106200002,-0.359,-0.469,-0.301,245,70,41.14,88,206,0
2025-03-04-20-46-53,106201058,0.378,0.804,-0.22,245,70,41.13,88,206,0
2025-03-04-20-46-54,106202015,0.196,0.124,-0.234,245,70,41.14,88,206,0
2025-03-04-20-46-55,106203071,-0.038,-2.881,-0.297,245,70,41.15,88,206,0
2025-03-04-20-46-56,106204028,0.589,-0.751,-0.301,245,70,41.15,88,206,0
2025-03-04-20-46-57,106205084,-0.421,1.991,-0.278,245,70,41.16,88,206,0
2025-03-04-20-46-58,106206008,-0.057,0.048,-0.278,245,70,41.16,89,206,0
2025-03-04-20-46-59,106207031,-0.282,5.254,-0.163,245,70,41.18,89,206,0
2025-03-04-20-47-00,106208054,0.038,-0.072,-0.258,245,70,41.18,89,206,0
2025-03-04-20-47-01,106209044,0.684,-5.192,-0.325,245,70,41.18,89,206,0
2025-03-04-20-47-02,106210001,0,0.019,-0.249,245,70,41.19,89,206,0
2025-03-04-20-47-03,106211024,-0.057,3.914,-0.258,245,70,41.2,89,206,0
2025-03-04-20-47-04,106212080,0.029,0.153,-0.278,245,70,41.21,90,206,0
2025-03-04-20-47-05,106212971,6.029,-3.9,-0.062,245,70,41.22,90,206,0
2025-03-04-20-47-06,106213994,-0.024,-0.024,-0.297,245,70,41.23,90,206,0
2025-03-04-20-47-07,106215017,0.368,3.354,-0.23,245,70,41.23,90,206,0
2025-03-04-20-47-08,106216040,0.502,-0.943,-0.144,245,70,41.24,90,206,0
2025-03-04-20-47-09,106217096,-0.033,0.813,-0.311,245,70,41.24,90,206,0
2025-03-04-20-47-10,106218020,-0.182,-0.708,-0.306,245,70,41.25,91,206,0
2025-03-04-20-47-11,106218944,3.737,-7.345,-0.11,245,70,41.26,91,206,0
2025-03-04-20-47-12,106220066,-0.144,-0.546,-0.167,245,70,41.27,91,206,0
2025-03-04-20-47-13,106221023,-0.211,0.675,-0.282,245,70,41.28,91,206,0
2025-03-04-20-47-14,106222046,0.024,0.211,-0.866,245,70,41.29,91,206,0
2025-03-04-20-47-15,106223069,-0.096,-0.483,-0.282,245,70,41.28,91,206,0
2025-03-04-20-47-16,106224059,-0.187,-1.158,-0.211,245,70,41.3,92,206,0
2025-03-04-20-47-17,106224950,-0.019,5.067,-0.359,245,70,41.31,92,206,0
2025-03-04-20-47-18,106226072,0.096,-0.024,-0.431,245,70,41.31,92,206,0
2025-03-04-20-47-19,106227062,0.043,0.435,-0.268,245,70,41.32,92,206,0
2025-03-04-20-47-20,106228019,0.148,0.33,0.062,245,70,41.33,92,206,0
2025-03-04-20-47-21,106229042,-0.019,-0.139,-0.287,245,70,41.33,93,206,0
2025-03-04-20-47-22,106230032,-0.144,-0.005,-0.435,245,70,41.34,93,206,0
2025-03-04-20-47-23,106231022,0.636,-2.833,-0.33,245,70,41.34,93,206,0
2025-03-04-20-47-24,106232078,0.287,-0.11,-0.01,245,70,41.35,93,206,0
2025-03-04-20-47-25,106233068,0.268,0.34,-0.292,245,70,41.36,93,206,0
2025-03-04-20-47-26,106234025,0.072,-0.115,-0.062,245,70,41.37,94,206,0
2025-03-04-20-47-27,106235081,0.297,-0.354,-0.282,245,70,41.37,94,206,0
2025-03-04-20-47-28,106236038,0.589,1.249,0.172,245,70,41.38,94,206,0
2025-03-04-20-47-29,106236929,-0.014,-3.809,-0.297,245,70,41.38,94,206,0
2025-03-04-20-47-30,106238084,-4.685,-0.479,-0.345,245,70,41.39,94,206,0
2025-03-04-20-47-31,106239074,0.148,0.211,-0.258,245,70,41.4,94,206,0
2025-03-04-20-47-32,106240031,0.876,-4.498,-0.325,245,70,41.4,95,206,0
2025-03-04-20-47-33,106241087,0.641,-0.383,-0.282,245,70,41.4,95,206,0
2025-03-04-20-47-34,106242077,-5.024,-0.167,-0.268,245,70,41.42,95,206,0
2025-03-04-20-47-35,106243034,0.014,-0.153,-0.321,245,70,41.42,95,206,0
2025-03-04-20-47-36,106244024,0.292,0.278,-0.316,245,70,41.42,95,206,0
2025-03-04-20-47-37,106245047,-0.148,0.005,0.148,245,70,41.43,95,206,0
2025-03-04-20-47-38,106246070,0.287,0.1,-0.278,245,70,41.44,96,206,0
2025-03-04-20-47-39,106246961,0.153,0.89,-0.555,245,70,41.45,96,206,0
2025-03-04-20-47-40,106248050,-0.062,0.033,-0.273,245,70,41.46,96,206,0
2025-03-04-20-47-41,106249073,-3.211,0.297,-0.306,245,70,41.46,96,206,0
2025-03-04-20-47-42,106250063,0.048,0.325,-0.239,245,70,41.46,96,206,0
2025-03-04-20-47-43,106251086,-0.364,-1.794,-0.239,245,70,41.47,96,206,0
2025-03-04-20-47-44,106252010,0.091,-0.134,-0.292,245,70,41.47,97,206,0
2025-03-04-20-47-45,106253066,-4.431,0.847,-0.373,245,70,41.47,97,206,0
2025-03-04-20-47-46,106254056,0.23,0.134,-0.019,245,70,41.49,97,206,0
2025-03-04-20-47-47,106255046,0.301,0.258,-0.297,245,70,41.49,97,206,0
2025-03-04-20-47-48,106256036,0.139,0.081,-0.34,245,70,41.49,97,206,0
2025-03-04-20-47-49,106257026,-0.191,-0.723,-0.263,245,70,41.5,98,206,0
2025-03-04-20-47-50,106258016,0.292,0.656,0.211,245,70,41.51,98,206,0
2025-03-04-20-47-51,106259039,0.077,0.091,-0.301,245,70,41.51,98,206,0
2025-03-04-20-47-52,106259996,0.474,0.665,-0.196,245,70,41.52,98,206,0
2025-03-04-20-47-53,106260986,0.311,-0.445,-0.359,245,70,41.52,98,206,0
2025-03-04-20-47-54,106262009,-0.263,5.187,-0.263,245,70,41.53,99,206,0
2025-03-04-20-47-55,106263065,0.498,0.555,-0.751,245,70,41.54,99,206,0
2025-03-04-20-47-56,106264022,0.139,-0.617,-0.292,245,70,41.54,99,206,0
2025-03-04-20-47-57,106265045,0.081,-0.115,-0.809,245,70,41.54,99,206,0
2025-03-04-20-47-58,106266035,0.565,0.163,-0.301,245,70,41.55,99,206,0
2025-03-04-20-47-59,106267025,0.249,0.278,-0.378,245,70,41.55,99,206,0
2025-03-04-20-48-00,106268048,0.11,0.555,-0.368,245,70,41.56,99,206,0
2025-03-04-20-48-01,106269071,-0.201,1.316,-0.321,245,70,41.56,100,206,0
2025-03-04-20-48-02,106270028,0.225,0.483,-0.263,245,70,41.57,100,206,0
2025-03-04-20-48-03,106271051,-0.742,-0.139,-0.278,245,70,41.57,100,206,0
2025-03-04-20-48-04,106271909,-0.005,0.904,-0.359,245,70,41.58,100,206,0
2025-03-04-20-48-05,106273064,-0.029,-0.024,-0.311,245,70,41.58,100,206,0
2025-03-04-20-48-06,106274054,0.144,0.258,-0.335,245,70,41.59,101,206,0
2025-03-04-20-48-07,106275011,-0.005,0.306,-0.325,245,70,41.59,101,206,0
2025-03-04-20-48-08,106276034,1.383,2.914,-0.038,245,70,41.6,101,206,0
2025-03-04-20-48-09,106277057,0.187,-0.077,-0.325,245,70,41.6,101,206,0
2025-03-04-20-48-10,106278014,0.014,-2.785,-0.297,245,70,41.61,101,206,0
2025-03-04-20-48-11,106279037,0.086,-0.067,-0.742,245,70,41.62,101,206,0
2025-03-04-20-48-12,106280093,-0.072,0.129,-0.321,245,70,41.63,102,206,0
2025-03-04-20-48-13,106281050,0.177,0.67,-0.024,245,70,41.63,102,206,0
2025-03-04-20-48-14,106282007,0.254,-0.254,-0.354,245,70,41.64,102,206,0
2025-03-04-20-48-15,106283063,-0.498,2.737,-0.34,245,70,41.64,102,206,0
2025-03-04-20-48-16,106284053,0.01,0.033,-0.258,245,70,41.65,102,206,0
2025-03-04-20-48-17,106285076,0.096,0.632,-0.287,245,70,41.65,102,206,0
2025-03-04-20-48-18,106286066,0.153,-0.196,-0.024,245,70,41.65,102,206,0
2025-03-04-20-48-19,106287056,0,3.79,-0.321,245,70,41.66,103,206,0
2025-03-04-20-48-20,106288013,-0.019,-0.33,-0.383,245,70,41.66,103,206,0
2025-03-04-20-48-21,106289069,0.043,0.033,-0.268,245,70,41.67,103,206,0
2025-03-04-20-48-22,106290059,0.34,-0.804,-0.325,245,70,41.68,103,206,0
2025-03-04-20-48-23,106291016,-0.029,0.177,-0.292,245,70,41.69,103,206,0
2025-03-04-20-48-24,106292072,-0.421,-1.847,-0.335,245,70,41.69,104,206,0
2025-03-04-20-48-25,106293062,0.081,0.292,-0.23,245,70,41.69,104,206,0
2025-03-04-20-48-26,106293986,-5.082,-0.976,-0.278,245,70,41.7,104,206,0
2025-03-04-20-48-27,106295075,0.081,0.057,-0.287,245,70,41.71,104,206,0
2025-03-04-20-48-28,106296065,0.431,0.163,-0.297,245,70,41.72,104,206,0
2025-03-04-20-48-29,106297022,-0.536,1.005,-0.311,245,70,41.72,104,206,0
2025-03-04-20-48-30,106298078,0.589,0.057,0.033,245,70,41.72,105,206,0
2025-03-04-20-48-31,106299035,-1.325,-0.172,-0.325,245,70,41.73,105,206,0
2025-03-04-20-48-32,106300058,0.225,0.191,-0.636,245,70,41.73,105,206,0
2025-03-04-20-48-33,106301048,0.048,-0.383,-0.268,245,70,41.74,105,206,0
2025-03-04-20-48-34,106302005,-0.129,-0.043,-0.167,245,70,41.75,105,206,0
2025-03-04-20-48-35,106303028,-0.44,0.091,-0.206,245,70,41.76,106,206,0
2025-03-04-20-48-36,106304084,0.636,2.737,-0.311,245,70,41.76,106,206,0
2025-03-04-20-48-37,106305074,-0.723,-0.857,-0.172,245,70,41.76,106,206,0
2025-03-04-20-48-38,106305965,0.029,2.206,-0.321,245,70,41.77,106,206,0
2025-03-04-20-48-39,106307087,0.072,-2.134,-0.258,245,70,41.78,106,206,0
2025-03-04-20-48-40,106308011,-0.187,-0.038,-0.215,245,70,41.79,106,206,0
2025-03-04-20-48-41,106309067,-0.158,0.991,-0.225,245,70,41.79,107,206,0
2025-03-04-20-48-42,106310057,0.268,-0.268,-0.211,245,70,41.8,107,206,0
2025-03-04-20-48-43,106311080,0,0.057,-0.268,245,70,41.8,107,206,0
2025-03-04-20-48-44,106312004,0.225,-0.067,0.091,245,70,41.8,107,206,0
2025-03-04-20-48-45,106313093,0.287,-0.158,-0.292,245,70,41.82,107,206,0
2025-03-04-20-48-46,106314017,-4,-0.077,-0.306,245,70,41.83,108,206,0
2025-03-04-20-48-47,106315040,0.043,0.077,-0.928,245,70,41.83,108,206,0
2025-03-04-20-48-48,106316063,0.072,0.163,-0.292,245,70,41.84,108,206,0
2025-03-04-20-48-49,106317053,-0.541,4.063,-0.234,245,70,41.84,108,206,0
2025-03-04-20-48-50,106318043,0.072,0.211,-0.077,245,70,41.84,108,206,0
2025-03-04-20-48-51,106319066,0.182,-0.488,-0.292,245,70,41.85,108,206,0
2025-03-04-20-48-52,106320023,0.043,-0.081,-0.943,245,70,41.85,109,206,0
2025-03-04-20-48-53,106321013,0.072,-0.34,-0.278,245,70,41.86,109,206,0
2025-03-04-20-48-54,106322036,-0.522,4.441,-0.321,245,70,41.87,109,206,0
2025-03-04-20-48-55,106323026,-0.081,0.11,0.062,245,70,41.88,109,206,0
2025-03-04-20-48-56,106323983,-5.192,-0.928,-0.287,245,70,41.89,109,206,0
2025-03-04-20-48-57,106325039,0.278,-0.23,-0.321,245,70,41.89,110,206,0
2025-03-04-20-48-58,106326029,0.115,0.019,-0.268,245,70,41.89,110,206,0
2025-03-04-20-48-59,106327019,3.685,1.842,-0.124,245,70,41.9,110,206,0
2025-03-04-20-49-00,106328075,0.005,-0.306,-0.225,245,70,41.91,110,206,0
2025-03-04-20-49-01,106329065,0.167,0.397,-0.321,245,70,41.91,111,206,0
2025-03-04-20-49-02,106329989,0.474,0.301,-0.12,245,70,41.92,111,206,0
2025-03-04-20-49-03,106331012,0.014,-0.062,0.057,245,70,41.93,111,206,0
2025-03-04-20-49-04,106331969,0.354,-4.656,-0.306,245,70,41.94,111,206,0
2025-03-04-20-49-05,106333025,-0.79,-1.239,-0.177,245,70,41.94,111,206,0
2025-03-04-20-49-06,106334048,-0.23,0.225,-0.268,245,70,41.94,111,206,0
2025-03-04-20-49-07,106335038,4.555,-0.45,-0.273,245,70,41.95,112,206,0
2025-03-04-20-49-08,106335995,0.187,-0.239,-0.081,245,70,41.95,112,206,0
2025-03-04-20-49-09,106337051,-0.072,0.876,-0.617,245,70,41.96,112,206,0
2025-03-04-20-49-10,106338041,4.206,-0.531,-0.34,245,70,41.96,112,206,0
2025-03-04-20-49-11,106339064,0.148,-0.072,-0.072,245,70,41.97,112,206,0
2025-03-04-20-49-12,106340087,0.263,0.11,-0.306,245,70,41.97,113,206,0
2025-03-04-20-49-13,106341011,2.038,-3.201,-0.316,245,70,41.98,113,206,0
2025-03-04-20-49-14,106341968,0.01,0.1,-0.464,245,70,41.99,113,206,0
2025-03-04-20-49-15,106343057,0.187,0.254,-0.335,245,70,41.99,113,206,0
2025-03-04-20-49-16,106344047,-1.89,0.311,-0.268,245,70,41.99,113,206,0
2025-03-04-20-49-17,106345070,-0.077,-0.177,-0.426,245,70,42.01,114,206,0
2025-03-04-20-49-18,106346060,4.441,-0.019,-0.254,245,70,42,114,206,0
2025-03-04-20-49-19,106347083,0.182,-0.603,-0.292,245,70,42.01,114,206,0
2025-03-04-20-49-20,106347974,-0.014,0.077,-0.043,245,70,42.01,114,206,0
2025-03-04-20-49-21,106349030,-1.091,-0.589,-0.239,245,70,42.02,114,206,0
2025-03-04-20-49-22,106350020,0.172,0.153,-0.096,245,70,42.02,114,206,0
2025-03-04-20-49-23,106351010,0.01,-0.613,-0.254,245,70,42.03,114,206,0
2025-03-04-20-49-24,106351967,2.029,-3.254,-0.321,245,70,42.03,115,206,0
2025-03-04-20-49-25,106353023,0.134,0.311,-0.287,245,70,42.04,115,206,0
2025-03-04-20-49-26,106354046,0.306,-0.273,-0.359,245,70,42.05,115,206,0
2025-03-04-20-49-27,106355036,0.215,-4.278,-0.292,245,70,42.05,115,206,0
2025-03-04-20-49-28,106356026,0.057,-0.268,-0.349,245,70,42.06,116,206,0
2025-03-04-20-49-29,106357016,-0.359,1.622,-0.139,245,70,42.06,116,206,0
2025-03-04-20-49-30,106358072,0.1,-0.019,-0.23,245,70,42.07,116,206,0
2025-03-04-20-49-31,106359062,-2.316,-3.646,-0.321,245,70,42.07,116,206,0
2025-03-04-20-49-32,106360052,-0.493,0.455,-0.268,245,70,42.07,116,206,0
2025-03-04-20-49-33,106361009,0.455,-0.206,-0.292,245,70,42.08,116,206,0
2025-03-04-20-49-34,106362065,0.589,-1.493,-0.273,245,70,42.08,117,206,0
2025-03-04-20-49-35,106363022,0.201,-0.708,-0.182,245,70,42.09,117,206,0
2025-03-04-20-49-36,106364012,0,4.876,-0.301,245,70,42.09,117,206,0
2025-03-04-20-49-37,106365035,0.067,-1.225,-0.45,245,70,42.09,117,206,0
2025-03-04-20-49-38,106365992,0.038,0.043,-0.507,245,70,42.11,117,206,0
2025-03-04-20-49-39,106367081,0.11,0.115,-0.282,245,70,42.12,117,206,0
2025-03-04-20-49-40,106368038,1.694,0.718,-0.316,245,70,42.12,118,206,0
2025-03-04-20-49-41,106369028,-0.096,0.062,-0.986,245,70,42.12,118,206,0
2025-03-04-20-49-42,106370051,0.01,-0.306,-0.187,245,70,42.13,118,206,0
2025-03-04-20-49-43,106371074,0.837,-0.215,-0.292,245,70,42.14,118,206,0
2025-03-04-20-49-44,106372064,-0.321,-0.876,0.421,245,70,42.14,118,206,0
2025-03-04-20-49-45,106373054,-0.053,0.01,-0.368,245,70,42.15,119,206,0
2025-03-04-20-49-46,106374077,-5.034,0.608,-0.292,245,70,42.15,119,206,0
2025-03-04-20-49-47,106374968,-0.1,-0.038,-0.512,245,70,42.16,119,206,0
2025-03-04-20-49-48,106376057,0.163,0.163,-0.335,245,70,42.16,119,206,0
2025-03-04-20-49-49,106377047,-5.163,3.316,-0.268,245,70,42.17,119,206,0
2025-03-04-20-49-50,106378037,0.187,-0.182,-0.378,245,70,42.17,120,206,0
2025-03-04-20-49-51,106379060,-0.043,0.249,-0.22,245,70,42.18,120,206,0
2025-03-04-20-49-52,106380050,0.335,-2.172,-0.282,245,70,42.18,120,206,0
2025-03-04-20-49-53,106381040,0.005,-0.01,-0.445,245,70,42.19,120,206,0
2025-03-04-20-49-54,106382063,-0.014,0.44,-0.177,245,70,42.19,120,206,0
2025-03-04-20-49-55,106383020,-0.632,-3.704,-0.292,245,70,42.2,121,206,0
2025-03-04-20-49-56,106384043,2.091,0.354,-0.249,245,70,42.2,121,206,0
2025-03-04-20-49-57,106385000,0.354,0.029,-0.943,245,70,42.21,121,206,0
2025-03-04-20-49-58,106386056,-0.301,0.426,-0.301,245,70,42.21,121,206,0
2025-03-04-20-49-59,106387013,4.46,-0.751,-0.278,245,70,42.22,121,206,0
2025-03-04-20-50-00,106388036,-0.431,0.019,-0.215,245,70,42.23,122,206,0
2025-03-04-20-50-01,106389059,0.11,0.258,-0.134,245,70,42.24,122,206,0
2025-03-04-20-50-02,106390049,-4.378,0.751,-0.297,245,70,42.24,122,206,0
2025-03-04-20-50-03,106391072,-0.636,1.392,-0.297,245,70,42.25,122,206,0
2025-03-04-20-50-04,106392062,-0.656,-0.536,-0.656,245,70,42.25,122,206,0
2025-03-04-20-50-05,106393019,0.345,-3.847,-0.345,245,70,42.25,122,206,0
2025-03-04-20-50-06,106394042,1.302,0.134,-0.33,245,70,42.26,123,206,0
2025-03-04-20-50-07,106395065,0.172,0.024,-0.354,245,70,42.27,123,206,0
2025-03-04-20-50-08,106396022,0.139,0.541,-0.569,245,70,42.27,123,206,0
2025-03-04-20-50-09,106397045,-2.263,0.067,-0.316,245,70,42.28,123,206,0
2025-03-04-20-50-10,106398035,-0.043,0.115,-0.23,245,70,42.29,123,206,0
2025-03-04-20-50-11,106398992,0.172,-0.072,-0.579,245,70,42.29,124,206,0
2025-03-04-20-50-12,106400015,0.445,-3.493,-0.301,245,70,42.3,124,206,0
2025-03-04-20-50-13,106401071,-0.498,3.752,-0.33,245,70,42.3,124,206,0
2025-03-04-20-50-14,106402028,-0.057,1.397,-0.378,245,70,42.31,124,206,0
2025-03-04-20-50-15,106403084,0.105,0.541,-0.407,245,70,42.31,124,206,0
2025-03-04-20-50-16,106404041,-0.206,-4.795,-0.282,245,70,42.32,125,206,0
2025-03-04-20-50-17,106405031,1.579,1.096,-0.268,245,70,42.32,125,206,0
2025-03-04-20-50-18,106406054,0.187,0.378,-0.306,245,70,42.33,125,206,0
2025-03-04-20-50-19,106407044,0.153,-0.091,-0.459,245,70,42.34,125,206,0
2025-03-04-20-50-20,106408034,-3.546,0.474,-0.292,245,70,42.34,125,206,0
2025-03-04-20-50-21,106409057,0.053,-0.325,-0.292,245,70,42.35,126,206,0
2025-03-04-20-50-22,106410047,0.139,-0.206,-0.34,245,70,42.36,126,206,0
2025-03-04-20-50-23,106411037,-0.091,0.038,-0.699,245,70,42.36,126,206,0
2025-03-04-20-50-24,106412027,0.392,1.613,-0.316,245,70,42.36,126,206,0
2025-03-04-20-50-25,106413017,0.239,0.043,-0.249,245,70,42.36,126,206,0
2025-03-04-20-50-26,106414040,-0.211,1.455,0.354,245,70,42.37,127,206,0
2025-03-04-20-50-27,106414997,4.536,-0.34,-0.373,245,70,42.37,127,206,0
2025-03-04-20-50-28,106416053,3.177,0.751,-0.33,245,70,42.39,127,206,0
2025-03-04-20-50-29,106417010,0.383,1.981,-0.325,245,70,42.38,127,206,0
2025-03-04-20-50-30,106418066,-0.01,1,0.234,245,70,42.39,127,206,0
2025-03-04-20-50-31,106418990,0.153,-2.474,-0.273,245,70,42.4,128,206,0
2025-03-04-20-50-32,106420013,-0.656,-0.632,-0.301,245,70,42.41,128,206,0
2025-03-04-20-50-33,106421069,0.072,0.388,-0.301,245,70,42.41,128,206,0
2025-03-04-20-50-34,106422026,0.239,0.062,-0.258,245,70,42.42,128,206,0
2025-03-04-20-50-35,106423016,0.22,-0.062,-0.397,245,70,42.42,128,206,0
2025-03-04-20-50-36,106424039,3.211,-0.995,-0.201,245,70,42.42,129,206,0
2025-03-04-20-50-37,106425029,-5.335,0.794,-0.306,245,70,42.43,129,206,0
2025-03-04-20-50-38,106426019,0.392,-0.148,-0.321,245,70,42.44,129,206,0
2025-03-04-20-50-39,106427075,-0.215,-0.158,-0.368,245,70,42.44,129,206,0
2025-03-04-20-50-40,106428032,-0.11,-0.263,-0.244,245,70,42.45,130,206,0
2025-03-04-20-50-41,106428989,0.823,-7.317,-0.278,245,70,42.45,130,206,0
2025-03-04-20-50-42,106430078,2.828,1.732,-0.282,245,70,42.46,130,206,0
2025-03-04-20-50-43,106430969,-0.287,-0.282,-0.282,245,70,42.46,130,206,0
2025-03-04-20-50-44,106432058,-0.349,0.445,0.191,245,70,42.47,130,206,0
2025-03-04-20-50-45,106433081,0.211,0.12,-0.1,245,70,42.47,131,206,0
2025-03-04-20-50-46,106434071,-4.048,-7.527,-0.297,245,70,42.48,131,206,0
2025-03-04-20-50-47,106435028,0.234,0.01,-0.268,245,70,42.48,131,206,0
2025-03-04-20-50-48,106436051,-0.033,-0.364,-0.431,245,70,42.49,131,206,0
2025-03-04-20-50-49,106437041,0.182,-0.005,-0.144,245,70,42.49,131,206,0
2025-03-04-20-50-50,106438064,-1.206,-0.794,-0.268,245,70,42.5,132,206,0
2025-03-04-20-50-51,106439021,-0.067,2.421,-0.282,245,70,42.49,132,206,0
2025-03-04-20-50-52,106440044,-0.512,0.565,-0.306,245,70,42.5,132,206,0
2025-03-04-20-50-53,106441034,0.091,0.158,-1.029,245,70,42.51,132,206,0
2025-03-04-20-50-54,106442057,-0.225,0.033,-0.66,245,70,42.51,133,206,0
2025-03-04-20-50-55,106442981,-0.057,0.541,-0.234,245,70,42.51,133,206,0
2025-03-04-20-50-56,106444037,0.115,0.096,-0.239,245,70,42.52,133,206,0
2025-03-04-20-50-57,106445060,0,-0.129,-0.292,245,70,42.54,133,206,0
2025-03-04-20-50-58,106446050,-0.617,-0.617,-0.244,245,70,42.53,133,206,0
2025-03-04-20-50-59,106447007,-0.01,1.091,-0.943,245,70,42.54,134,206,0
2025-03-04-20-51-00,106448030,-0.019,-0.072,-0.148,245,70,42.55,134,206,0
2025-03-04-20-51-01,106449020,8.948,2.144,-0.254,245,70,42.55,134,206,0
2025-03-04-20-51-02,106450043,-0.201,0.081,-0.297,245,70,42.56,134,206,0
2025-03-04-20-51-03,106451033,-0.589,-1.163,-0.278,245,70,42.56,134,206,0
2025-03-04-20-51-04,106452056,-0.794,-0.44,-0.402,245,70,42.56,135,206,0
2025-03-04-20-51-05,106452947,4.9,0.187,-0.311,245,70,42.58,135,206,0
2025-03-04-20-51-06,106454036,-0.584,4.436,-0.354,245,70,42.58,135,206,0
2025-03-04-20-51-07,106455059,1.335,0.837,-0.316,245,70,42.58,135,206,0
2025-03-04-20-51-08,106456016,0.158,-0.512,-0.297,245,70,42.58,135,206,0
2025-03-04-20-51-09,106457072,0.636,-0.55,-0.244,245,70,42.59,136,206,0
2025-03-04-20-51-10,106458029,0.048,0.187,-0.053,245,70,42.6,136,206,0
2025-03-04-20-51-11,106459052,0.043,-0.603,-0.124,245,70,42.6,136,206,0
2025-03-04-20-51-12,106460075,-5.029,-0.56,-0.268,245,70,42.6,136,206,0
2025-03-04-20-51-13,106461065,1.838,0.421,-0.282,245,70,42.6,136,206,0
2025-03-04-20-51-14,106462055,0.163,0.206,-0.325,245,70,42.61,136,206,0
2025-03-04-20-51-15,106462913,0.325,-0.077,-0.641,245,70,42.61,137,206,0
2025-03-04-20-51-16,106464068,0.014,0.196,-0.991,245,70,42.63,137,206,0
2025-03-04-20-51-17,106465025,3.819,0.828,-0.187,245,70,42.62,137,206,0
